NIT de la Entidad;Nombre de la Entidad
891902186-5;VALLE DEL CAUCA - CIÅMARA DE COMERCIO DE SEVILLA
891701932-0;MAGDALENA - INSTITUTO NACIONAL DE FORMACION TECNICA PROFESIONAL  HUMBERTO VELIÅSQUEZ GARCIçA  - INFOTEP - CIENAGA
891501885-4;CRC - CORPORACION AUTONOMA REGIONAL DEL CAUCA
891410354-4;CARDER - CORPORACION AUTONOMA REGIONAL DE RISARALDA
891222322-2;CORPONARIIëO - CORPORACION AUTONOMA REGIONAL DE NARIIëO
891080031-3;CORDOBA - UNIVERSIDAD DE CORDOBA - MONTERIçA
890981415-0;ANTIOQUIA - INSTITUCION EDUCATIVA MANUEL JOSE CAYZEDO - MEDELLIçN
890981115-6;ANTIOQUIA - PERSONERIçA MUNICIPIO DE MONTEBELLO
890805037-7;CALDAS - I.E. INSTITUTO TECNICO MARCO FIDEL SUAREZ - MANIZALES
890700640-7;TOLIMA - UNIVERSIDAD DEL TOLIMA
890399002-7;CVC - CORPORACION AUTONOMA REGIONAL DEL VALLE DEL CAUCA
890102257-3;ATLIÅNTICO - UNIVERSIDAD DEL ATLIÅNTICO
890000447-8;CRQ - CORPORACION AUTONOMA REGIONAL DEL QUINDIçO
890000432-8;QUINDIçO - UNIVERSIDAD DEL QUINDIçO
860532782-4;CONSEJO PROFESIONAL DE INGENIERIçA DE PETROLEOS - CPIP
860531315-3;BOGOTIÅ D.C. - ALIANZA FIDUCIARIA S.A.
860509022-9;FINANCIERA DE DESARROLLO NACIONAL S.A.
860503600-9;SUPERINTENDENCIA DEL SUBSIDIO FAMILIAR
860402272-2;FNG - FONDO NACIONAL DE GARANTIçAS
860042945-5;CISA - CENTRAL DE INVERSIONES S.A.
860011153-6;POSITIVA COMPAIëIA DE SEGUROS S.A
860002400-2;LA PREVISORA COMPAIëIçA DE SEGUROS
837000110-9;NARIIëO - INSTITUCION EDUCATIVA GENARO LEON - GUACHUCAL
832010017-6;CUNDINAMARCA - INSTITUCION EDUCATIVA DEPARTAMENTAL SAN BENITO - SIBATE
832004802-7;CUNDINAMARCA - IED. ESCUELA NORMAL SUPERIOR SANTA TERESITA DE QUETAME
832002728-0;CUNDINAMARCA - INSTITUCION EDUCATIVA DEPARTAMENTAL NUESTRA SEIëORA DE FIÅTIMA - SASAIMA
832002568-9;CUNDINAMARCA - INSTITUCION EDUCATIVA DEPARTAMENTAL RURAL LA PLAZUELA - COGUA
832000283-6;CORPORINOQUIçA - CORPORACION AUTONOMA REGIONAL DE LA ORINOQUIçA
832000171-1;CORPORACION AUTONOMA REGIONAL DEL GUAVIO
830079479-5;COMPUTADORES PARA EDUCAR
830059954-7;CONSEJO PROFESIONAL NACIONAL DE ARQUITECTURA Y SUS PROFESIONES AUXILIARES
830053994-4;BOGOTIÅ D.C. - PATRIMONIOS AUTONOMOS FIDUCIARIA COLPATRIA S.A.
830053812-2;ALIANZA FIDUCIARIA S. A. - PATRIMONIO AUTONOMO DEL FONDO DE INFRAESTRUCTURA EDUCATIVA FFIE
830053319-2;FOGACOOP - FONDO DE GARANTIçAS DE ENTIDADES COOPERATIVAS
830039670-5;DIRECCION GENERAL DE SANIDAD MILITAR
830027904-1;DIRECCION GENERAL MARIçTIMA
830016624-7;UNIDAD ADMINISTRATIVA ESPECIAL DEL SISTEMA DE PARQUES NACIONALES NATURALES
830002634-1;ESCUELA SUPERIOR DE GUERRA GENERAL RAFAEL REYES PRIETO
830.084.782-2;BOGOTIÅ D.C. - IED COLEGIO EDUARDO UMAIëA LUNA
825000398 - 9;LA GUAJIRA - CONCEJO MUNICIPAL DE SAN JUAN DEL CESAR
823004625-7;SUCRE - INSTITUCION EDUCATIVA EL CAUCHAL - SAN BENITO ABAD
823000050-4;CARSUCRE - CORPORACION AUTONOMA REGIONAL DE SUCRE
818001629-4;CHOCO - EMPRESA DISTRIBUIDORA DEL PACIFICO S.A. ESP. - DISPAC S.A. ESP. - QUIBDO
816002480-1;RISARALDA - INSTITUCION EDUCATIVA ALFONSO LOPEZ PUMAREJO - LA VIRGINIA
816000542-0;RISARALDA - INSTITUCION EDUCATIVA AGROAMBIENTAL PIO XII - PUEBLO RICO
814006542-0;NARIIëO - CENTRO EDUCATIVO MUNICIPAL SAN FRANCISCO DE ASIçS - PASTO
813013255-7;HUILA - INSTITUCION EDUCATIVA MUNICIPAL VILLA FATIMA - PITALITO
811021654-9;BOGOTIÅ D.C. - INTERNEXA S.A. E.S.P.
811020045-9;ANTIOQUIA - INSTITUCION EDUCATIVA LA UNION ¬ø BELLO
811017900-0;ANTIOQUIA - INSTITUCION EDUCATIVA BARRIO SANTA CRUZ - MEDELLIçN
811017345-2;ANTIOQUIA - INSTITUCION EDUCATIVA BENEDIKTA ZUR NIEDEN - ITAGUI
811.043.220-0;ANTIOQUIA - INSTITUCION EDUCATIVA DIVINA EUCARISTIçA - BELLO
806000327-7;CSB - CORPORACION AUTONOMA REGIONAL DEL SUR DE BOLIçVAR
802007669-8;BOGOTIÅ D.C. - TRANSELCA S.A. E.S.P.
802000339-0;CRA - CORPORACION AUTONOMA REGIONAL DEL ATLIÅNTICO
800255580-7;CAM - CORPORACION AUTONOMA REGIONAL DEL ALTO MAGDALENA
800254453-5;CARDIQUE - CORPORACION AUTONOMA REGIONAL DEL CANAL DEL DIQUE
800252843-5;CORPOBOYACIÅ - CORPORACION AUTONOMA REGIONAL DE BOYACIÅ
800252037-5;CORPOCHIVOR - CORPORACION AUTONOMA REGIONAL DE CHIVOR
800251163-0;BOGOTIÅ D.C. - OLEODUCTO CENTRAL S.A. - OCENSA
800248529-1;BOLIçVAR - ESCUELA SUPERIOR DE ADMINISTRACION PUBLICA - ESAP - CARTAGENA
800247350-6;BOGOTIÅ D.C. - E.S.E. CENTRO DERMATOLOGICO FEDERICO LLERAS ACOSTA
800230729-9;COMANDO GENERAL DE LAS FUERZAS MILITARES
800223122 - 1;NARIIëO - INSTITUCION EDUCATIVA SIMON BOLIVAR - SAMANIEGO
800214417-9;CONSEJO PROFESIONAL NACIONAL DE INGENIERIçA - COPNIA
800170433-6;SUPERINTENDENCIA DE PUERTOS Y TRANSPORTE
800169283-6;ANTIOQUIA - JUNTA MUNICIPAL DE DEPORTES DE FRONTINO JUNDEPORTES
800163158-6;COMISION COLOMBIANA DEL OCEANO - SECRETARIçA EJECUTIVA DE LA COMISION COLOMBIANA DEL OCEANO
800149923-6;BANCOLDEX - BANCO DE COMERCIO EXTERIOR DE COLOMBIA S.A.
800142286-0;CONSEJO PROFESIONAL DE ADMINISTRACION DE EMPRESAS
800141644-1;ARMADA NACIONAL DE LA REPUBLICA DE COLOMBIA
800131648-6;FONDO DE LAS TECNOLOGIçAS DE LA INFORMACION Y LAS COMUNICACIONES
800099287-4;CORPAMAG - CORPORACION AUTONOMA REGIONAL DEL MAGDALENA
800096329-1;FINDETER - FINANCIERA DE DESARROLLO TERRITORIAL
800093816-3;CONSEJO SUPERIOR DE LA JUDICATURA
800072977-0;FONDO ROTATORIO DEL DANE
800059441-1;FONDO DE FOMENTO PANELERO - FEDEPANELA
800037800-8;BANCO AGRARIO
8909846594;ANTIOQUIA - CIÅMARA DE COMERCIO DE URABIÅ - APARTADO
8180006060;CHOCO - BATALLON DE SERVICIOS  PARA EL COMBATE N¬∞15 SP JOSE WILLIAM COPETE COPETE
900948958;AGENCIA DE DESARROLLO RURAL -  ADR
900678508;SERVICIO PUBLICO DE EMPLEO (REDEMPLEO)
900528648;AGENCIA DEL INSPECTOR GENERAL DE TRIBUTOS  RENTAS Y CONTRIBUCIONES PARAFISCALES (ITRC)
900523392;UNIDAD DE SERVICIOS PENITENCIARIOS Y CARCELARIOS (USPEC)
900517646;AUTORIDAD NACIONAL DE TELEVISION (ANTV)
900507741;AGENCIA NACIONAL DE DEFENSA JURIçDICA DEL ESTADO (ANDJE)
900500018;AGENCIA NACIONAL DE MINERIçA (ANM)
900498879;UNIDAD DE RESTITUCION DE TIERRAS (URT)
900494393;INSTITUTO NACIONAL DE METROLOGIçA (INM)
900492141;CENTRO DE MEMORIA HISTORICA (CNMH)
900484852;AGENCIA PRESIDENCIAL DE COOPERACION INTERNACIONAL DE COLOMBIA (APC)
900479669;AUTORIDAD NACIONAL DE ACUICULTURA Y PESCA (AUNAP)
900478966;UNIDAD NACIONAL PARA LA GESTION DEL RIESGO DE DESASTRES (UNGRD)
900477235;MIGRACION COLOMBIA (MC)
900477169;AGENCIA PARA LA REINCORPORACION Y LA NORMALIZACION (ARN)
900475780;UNIDAD NACIONAL DE PROTECCION (UNP)
900475460;DIRECCION NACIONAL DE INTELIGENCIA (DNI)
900467239;AUTORIDAD NACIONAL DE LICENCIAS AMBIENTALES (ANLA)
900463725;MINISTERIO DE VIVIENDA  CIUDAD Y TERRITORIO (MINVIVIENDA)
900457461;MINISTERIO DE JUSTICIA Y DEL DERECHO (MINJUSTICIA)
900450205;FONDO ADAPTACION (FA)
900373913;UNIDAD DE GESTION PENSIONAL Y PARAFISCALES (UGPP)
900336004;ADMINISTRADORA COLOMBIANA DE PENSIONES (COLPENSIONES)
900334265;AGENCIA NACIONAL DEL ESPECTRO (ANE)
900180739;JUNTA CENTRAL DE CONTADORES (JCC)
900041816;SUCRE-CENTRO EDUCATIVO BOCA PUERTA-SAN MARCOS
900039533;DEPARTAMENTO ADMINISTRATIVO PARA LA PROSPERIDAD SOCIAL (DPS)
899999717;DEFENSA CIVIL COLOMBIANA (DCC)
899999403;INSTITUTO NACIONAL DE SALUD (INS)
899999327;FONDO NACIONAL DE ESTUPEFACIENTES
899999316;FONDO FINANCIERO DE PROYECTOS DE DESARROLLO (FONADE)
899999306;DEPARTAMENTO ADMINISTRATIVO DEL DEPORTE  LA RECREACION  LA ACTIVIDAD FIçSICA Y EL APROVECHAMIENTO DEL TIEMPO LIBRE (COLDEPORTES)
899999296;DEPARTAMENTO ADMINISTRATIVO DE LA CIENCIA  TECNOLOGIçA E INNOVACION (COLCIENCIAS)
899999294;SERVICIO GEOLOGICO COLOMBIANO (SGC)
899999239;INSTITUTO COLOMBIANO DE BIENESTAR FAMILIAR (ICBF)
899999238;CORPOCALDAS - CORPORACION AUTONOMA REGIONAL DE CALDAS
899999162;AGENCIA LOGIçSTICA DE LAS FUERZAS MILITARES (ALFM)
899999119;PROCURADURIçA GENERAL DE LA NACION (PGN)
899999118;CAJA DE RETIRO DE LAS FUERZAS MILITARES (CREMIL)
899999103;CONGRESO DE LA REPUBLICA (SENADO)
899999096;INSTITUTO CARO Y CUERVO (ICC)
899999090;MINISTERIO DE HACIENDA Y CREDITO PUBLICO (MINHACIENDA)
899999086;SUPERINTENDENCIA DE SOCIEDADES (SUPERSOCIEDADES)
899999083;DEPARTAMENTO ADMINISTRATIVO DE LA PRESIDENCIA DE LA REPUBLICA (DAPRE)
